Page Title,Sonapona URL
Adverbs,https://sonapona.miraheze.org/wiki/Adverbs
Anagrams,https://sonapona.miraheze.org/wiki/Anagrams
Animals,https://sonapona.miraheze.org/wiki/Animals
Antonyms,https://sonapona.miraheze.org/wiki/Antonyms
Body parts,https://sonapona.miraheze.org/wiki/Body_parts
Book words,https://sonapona.miraheze.org/wiki/Book_words
Calques,https://sonapona.miraheze.org/wiki/Calques
Colors,https://sonapona.miraheze.org/wiki/Colors
Conjunctions,https://sonapona.miraheze.org/wiki/Conjunctions
Content words,https://sonapona.miraheze.org/wiki/Content_words
Etymology,https://sonapona.miraheze.org/wiki/Etymology
How many words does Toki Pona have?,https://sonapona.miraheze.org/wiki/How_many_words_does_Toki_Pona_have?
Indiscriminate list of words,https://sonapona.miraheze.org/wiki/Indiscriminate_list_of_words
Joke words,https://sonapona.miraheze.org/wiki/Joke_words
Left and right,https://sonapona.miraheze.org/wiki/Left_and_right
List of ma pona pi toki pona slang,https://sonapona.miraheze.org/wiki/List_of_ma_pona_pi_toki_pona_slang
List of marginal words in ... usefulquotes,https://sonapona.miraheze.org/wiki/List_of_marginal_words_in_..._usefulquotes
Lists of words,https://sonapona.miraheze.org/wiki/Lists_of_words
Nineteen Eighty-Four,https://sonapona.miraheze.org/wiki/Nineteen_Eighty-Four
Nonce words,https://sonapona.miraheze.org/wiki/Nonce_words
Nonstandard animal words,https://sonapona.miraheze.org/wiki/Nonstandard_animal_words
Nonstandard color words,https://sonapona.miraheze.org/wiki/Nonstandard_color_words
Nonstandard number words,https://sonapona.miraheze.org/wiki/Nonstandard_number_words
Obsolete words,https://sonapona.miraheze.org/wiki/Obsolete_words
Onomatopoeia,https://sonapona.miraheze.org/wiki/Onomatopoeia
Phonotactics,https://sonapona.miraheze.org/wiki/Phonotactics
Pingo,https://sonapona.miraheze.org/wiki/Pingo
Place and language names,https://sonapona.miraheze.org/wiki/Place_and_language_names
Recommended words,https://sonapona.miraheze.org/wiki/Recommended_words
Semantic space,https://sonapona.miraheze.org/wiki/Semantic_space
Shape words,https://sonapona.miraheze.org/wiki/Shape_words
Spatial words,https://sonapona.miraheze.org/wiki/Spatial_words
States of matter,https://sonapona.miraheze.org/wiki/States_of_matter
Synonyms,https://sonapona.miraheze.org/wiki/Synonyms
Typos,https://sonapona.miraheze.org/wiki/Typos
Word,https://sonapona.miraheze.org/wiki/Word
Word frequency,https://sonapona.miraheze.org/wiki/Word_frequency
aka,https://sonapona.miraheze.org/wiki/aka
ako,https://sonapona.miraheze.org/wiki/ako
aku,https://sonapona.miraheze.org/wiki/aku
alu,https://sonapona.miraheze.org/wiki/alu
anta,https://sonapona.miraheze.org/wiki/anta
antikontitutonelema,https://sonapona.miraheze.org/wiki/antikontitutonelema
apelo,https://sonapona.miraheze.org/wiki/apelo
api,https://sonapona.miraheze.org/wiki/api
asu,https://sonapona.miraheze.org/wiki/asu
ata,https://sonapona.miraheze.org/wiki/ata
awase,https://sonapona.miraheze.org/wiki/awase
awesome,https://sonapona.miraheze.org/wiki/awesome
eki,https://sonapona.miraheze.org/wiki/eki
eliki,https://sonapona.miraheze.org/wiki/eliki
enko,https://sonapona.miraheze.org/wiki/enko
ete,https://sonapona.miraheze.org/wiki/ete
ewe,https://sonapona.miraheze.org/wiki/ewe
i,https://sonapona.miraheze.org/wiki/i
iki,https://sonapona.miraheze.org/wiki/iki
inta,https://sonapona.miraheze.org/wiki/inta
ipi,https://sonapona.miraheze.org/wiki/ipi
isa,https://sonapona.miraheze.org/wiki/isa
iseki,https://sonapona.miraheze.org/wiki/iseki
isipin,https://sonapona.miraheze.org/wiki/isipin
itomi,https://sonapona.miraheze.org/wiki/itomi
ja,https://sonapona.miraheze.org/wiki/ja
jaku,https://sonapona.miraheze.org/wiki/jaku
jalan,https://sonapona.miraheze.org/wiki/jalan
jami,https://sonapona.miraheze.org/wiki/jami
jans,https://sonapona.miraheze.org/wiki/jans
je,https://sonapona.miraheze.org/wiki/je
jete,https://sonapona.miraheze.org/wiki/jete
jonke,https://sonapona.miraheze.org/wiki/jonke
ju,https://sonapona.miraheze.org/wiki/ju
jule,https://sonapona.miraheze.org/wiki/jule
jume,https://sonapona.miraheze.org/wiki/jume
ka,https://sonapona.miraheze.org/wiki/ka
kalamARR,https://sonapona.miraheze.org/wiki/kalamARR
kalapisituji,https://sonapona.miraheze.org/wiki/kalapisituji
kalijopilale,https://sonapona.miraheze.org/wiki/kalijopilale
kamalawala,https://sonapona.miraheze.org/wiki/kamalawala
kamosa,https://sonapona.miraheze.org/wiki/kamosa
kan,https://sonapona.miraheze.org/wiki/kan
kani,https://sonapona.miraheze.org/wiki/kani
kapa,https://sonapona.miraheze.org/wiki/kapa
kapesi,https://sonapona.miraheze.org/wiki/kapesi
kasan,https://sonapona.miraheze.org/wiki/kasan
ke,https://sonapona.miraheze.org/wiki/ke
kelo,https://sonapona.miraheze.org/wiki/kelo
kepen,https://sonapona.miraheze.org/wiki/kepen
kese,https://sonapona.miraheze.org/wiki/kese
kewe,https://sonapona.miraheze.org/wiki/kewe
ki,https://sonapona.miraheze.org/wiki/ki
kiki,https://sonapona.miraheze.org/wiki/kiki
kikolo,https://sonapona.miraheze.org/wiki/kikolo
kisa,https://sonapona.miraheze.org/wiki/kisa
kitu,https://sonapona.miraheze.org/wiki/kitu
kokoliko,https://sonapona.miraheze.org/wiki/kokoliko
kolo,https://sonapona.miraheze.org/wiki/kolo
konsi,https://sonapona.miraheze.org/wiki/konsi
konwe,https://sonapona.miraheze.org/wiki/konwe
kosa,https://sonapona.miraheze.org/wiki/kosa
kosan,https://sonapona.miraheze.org/wiki/kosan
kulaso,https://sonapona.miraheze.org/wiki/kulaso
kulijo,https://sonapona.miraheze.org/wiki/kulijo
kulu,https://sonapona.miraheze.org/wiki/kulu
kulupu pi toki Epanja,https://sonapona.miraheze.org/wiki/kulupu_pi_toki_Epanja
kulupu pi toki pona lon ilo QQ,https://sonapona.miraheze.org/wiki/kulupu_pi_toki_pona_lon_ilo_QQ
kulupu pi toki pona pi ma Anku,https://sonapona.miraheze.org/wiki/kulupu_pi_toki_pona_pi_ma_Anku
kuntu,https://sonapona.miraheze.org/wiki/kuntu
kutopoma,https://sonapona.miraheze.org/wiki/kutopoma
lan,https://sonapona.miraheze.org/wiki/lan
lapan,https://sonapona.miraheze.org/wiki/lapan
lijokuku,https://sonapona.miraheze.org/wiki/lijokuku
likujo,https://sonapona.miraheze.org/wiki/likujo
linluwi,https://sonapona.miraheze.org/wiki/linluwi
linuwi,https://sonapona.miraheze.org/wiki/linuwi
lisa,https://sonapona.miraheze.org/wiki/lisa
lo,https://sonapona.miraheze.org/wiki/lo
loka,https://sonapona.miraheze.org/wiki/loka
lokon,https://sonapona.miraheze.org/wiki/lokon
lonsi,https://sonapona.miraheze.org/wiki/lonsi
lu,https://sonapona.miraheze.org/wiki/lu
masalo,https://sonapona.miraheze.org/wiki/masalo
matula,https://sonapona.miraheze.org/wiki/matula
me,https://sonapona.miraheze.org/wiki/me
melome,https://sonapona.miraheze.org/wiki/melome
melome and mijomi,https://sonapona.miraheze.org/wiki/melome_and_mijomi
mijomi,https://sonapona.miraheze.org/wiki/mijomi
minsu,https://sonapona.miraheze.org/wiki/minsu
misa,https://sonapona.miraheze.org/wiki/misa
molusa,https://sonapona.miraheze.org/wiki/molusa
mulapisu,https://sonapona.miraheze.org/wiki/mulapisu
nalanja,https://sonapona.miraheze.org/wiki/nalanja
nan,https://sonapona.miraheze.org/wiki/nan
nasa renaissance,https://sonapona.miraheze.org/wiki/nasa_renaissance
nasin panke,https://sonapona.miraheze.org/wiki/nasin_panke
natu,https://sonapona.miraheze.org/wiki/natu
neja,https://sonapona.miraheze.org/wiki/neja
nele,https://sonapona.miraheze.org/wiki/nele
nimi ku,https://sonapona.miraheze.org/wiki/nimi_ku
nimi pu,https://sonapona.miraheze.org/wiki/nimi_pu
nimi sin,https://sonapona.miraheze.org/wiki/nimi_sin
nimi su,https://sonapona.miraheze.org/wiki/nimi_su
nimisin,https://sonapona.miraheze.org/wiki/nimisin
nja,https://sonapona.miraheze.org/wiki/nja
nowi,https://sonapona.miraheze.org/wiki/nowi
nu,https://sonapona.miraheze.org/wiki/nu
nu (synonym),https://sonapona.miraheze.org/wiki/nu_(synonym)
ojuta,https://sonapona.miraheze.org/wiki/ojuta
oke,https://sonapona.miraheze.org/wiki/oke
okepuma,https://sonapona.miraheze.org/wiki/okepuma
oki,https://sonapona.miraheze.org/wiki/oki
olala,https://sonapona.miraheze.org/wiki/olala
omekalike,https://sonapona.miraheze.org/wiki/omekalike
omekapo,https://sonapona.miraheze.org/wiki/omekapo
omen,https://sonapona.miraheze.org/wiki/omen
oni,https://sonapona.miraheze.org/wiki/oni
opasan,https://sonapona.miraheze.org/wiki/opasan
owe,https://sonapona.miraheze.org/wiki/owe
pa,https://sonapona.miraheze.org/wiki/pa
paka,https://sonapona.miraheze.org/wiki/paka
pakola,https://sonapona.miraheze.org/wiki/pakola
panke,https://sonapona.miraheze.org/wiki/panke
panpan,https://sonapona.miraheze.org/wiki/panpan
pasila,https://sonapona.miraheze.org/wiki/pasila
pe,https://sonapona.miraheze.org/wiki/pe
pelusa,https://sonapona.miraheze.org/wiki/pelusa
penpo,https://sonapona.miraheze.org/wiki/penpo
peto,https://sonapona.miraheze.org/wiki/peto
pika,https://sonapona.miraheze.org/wiki/pika
pipo,https://sonapona.miraheze.org/wiki/pipo
poki tona,https://sonapona.miraheze.org/wiki/poki_tona
poku,https://sonapona.miraheze.org/wiki/poku
polinpin,https://sonapona.miraheze.org/wiki/polinpin
pomotolo,https://sonapona.miraheze.org/wiki/pomotolo
poni,https://sonapona.miraheze.org/wiki/poni
potesu,https://sonapona.miraheze.org/wiki/potesu
pulaso,https://sonapona.miraheze.org/wiki/pulaso
puwa,https://sonapona.miraheze.org/wiki/puwa
samu,https://sonapona.miraheze.org/wiki/samu
santa,https://sonapona.miraheze.org/wiki/santa
sapelipope,https://sonapona.miraheze.org/wiki/sapelipope
sikako,https://sonapona.miraheze.org/wiki/sikako
sikomo,https://sonapona.miraheze.org/wiki/sikomo
silapa,https://sonapona.miraheze.org/wiki/silapa
sipi,https://sonapona.miraheze.org/wiki/sipi
sisi,https://sonapona.miraheze.org/wiki/sisi
siwala,https://sonapona.miraheze.org/wiki/siwala
slape,https://sonapona.miraheze.org/wiki/slape
snoweli,https://sonapona.miraheze.org/wiki/snoweli
sokeli,https://sonapona.miraheze.org/wiki/sokeli
sole,https://sonapona.miraheze.org/wiki/sole
soto,https://sonapona.miraheze.org/wiki/soto
sowoli,https://sonapona.miraheze.org/wiki/sowoli
su (particle),https://sonapona.miraheze.org/wiki/su_(particle)
suke,https://sonapona.miraheze.org/wiki/suke
sulaso,https://sonapona.miraheze.org/wiki/sulaso
sunta,https://sonapona.miraheze.org/wiki/sunta
sutopatikuna,https://sonapona.miraheze.org/wiki/sutopatikuna
ta,https://sonapona.miraheze.org/wiki/ta
taki,https://sonapona.miraheze.org/wiki/taki
tankala,https://sonapona.miraheze.org/wiki/tankala
te,https://sonapona.miraheze.org/wiki/te
te and to,https://sonapona.miraheze.org/wiki/te_and_to
teken,https://sonapona.miraheze.org/wiki/teken
teki,https://sonapona.miraheze.org/wiki/teki
ten,https://sonapona.miraheze.org/wiki/ten
tenkala,https://sonapona.miraheze.org/wiki/tenkala
to,https://sonapona.miraheze.org/wiki/to
tokana,https://sonapona.miraheze.org/wiki/tokana
toma,https://sonapona.miraheze.org/wiki/toma
tona,https://sonapona.miraheze.org/wiki/tona
tuki tiki,https://sonapona.miraheze.org/wiki/tuki_tiki
tuli,https://sonapona.miraheze.org/wiki/tuli
u,https://sonapona.miraheze.org/wiki/u
uka,https://sonapona.miraheze.org/wiki/uka
ulu,https://sonapona.miraheze.org/wiki/ulu
umesu,https://sonapona.miraheze.org/wiki/umesu
unu,https://sonapona.miraheze.org/wiki/unu
usa,https://sonapona.miraheze.org/wiki/usa
usawi,https://sonapona.miraheze.org/wiki/usawi
wa,https://sonapona.miraheze.org/wiki/wa
waken,https://sonapona.miraheze.org/wiki/waken
waleja,https://sonapona.miraheze.org/wiki/waleja
wasoweli,https://sonapona.miraheze.org/wiki/wasoweli
wawajete,https://sonapona.miraheze.org/wiki/wawajete
we,https://sonapona.miraheze.org/wiki/we
we (content word),https://sonapona.miraheze.org/wiki/we_(content_word)
we (particle),https://sonapona.miraheze.org/wiki/we_(particle)
wekama,https://sonapona.miraheze.org/wiki/wekama
wi,https://sonapona.miraheze.org/wiki/wi
wisa,https://sonapona.miraheze.org/wiki/wisa
wiwi,https://sonapona.miraheze.org/wiki/wiwi
wuwojiti,https://sonapona.miraheze.org/wiki/wuwojiti
yupekosi,https://sonapona.miraheze.org/wiki/yupekosi
yutu,https://sonapona.miraheze.org/wiki/yutu
