Word,In Sona Pona,In Simple Wiki,In Wikidata,Coverage
a,No,No,Yes,wikidata
aka,Yes,No,No,sonapona
akesi,No,No,Yes,wikidata
ako,Yes,No,No,sonapona
aku,Yes,No,No,sonapona
ala,No,No,Yes,wikidata
alasa,No,No,Yes,wikidata
ale,No,No,Yes,wikidata
ali,No,No,Yes,wikidata
anpa,No,No,Yes,wikidata
anta,Yes,No,No,sonapona
ante,No,No,Yes,wikidata
antikontitutonelema,Yes,No,No,sonapona
anu,No,No,Yes,wikidata
apeja,Yes,No,Yes,"sonapona, wikidata"
apelo,Yes,No,No,sonapona
api,Yes,No,No,sonapona
asu,Yes,No,No,sonapona
ata,Yes,No,No,sonapona
awase,Yes,No,No,sonapona
awen,No,No,Yes,wikidata
awesome,Yes,No,No,sonapona
e,No,No,Yes,wikidata
eki,Yes,No,No,sonapona
en,No,No,Yes,wikidata
enko,Yes,No,No,sonapona
epiku,Yes,No,Yes,"sonapona, wikidata"
esun,No,No,Yes,wikidata
ete,Yes,No,No,sonapona
ewe,Yes,No,No,sonapona
i,Yes,No,No,sonapona
ijo,No,No,Yes,wikidata
ike,No,No,Yes,wikidata
iki,Yes,No,No,sonapona
ilo,No,No,Yes,wikidata
insa,No,No,Yes,wikidata
inta,Yes,No,No,sonapona
ipi,Yes,No,No,sonapona
isa,Yes,No,No,sonapona
iseki,Yes,No,No,sonapona
isipin,Yes,No,No,sonapona
itomi,Yes,No,No,sonapona
ja,Yes,No,No,sonapona
jaki,No,No,Yes,wikidata
jaku,Yes,No,No,sonapona
jalan,Yes,No,No,sonapona
jami,Yes,No,No,sonapona
jan,No,No,Yes,wikidata
jans,Yes,No,No,sonapona
jasima,Yes,No,Yes,"sonapona, wikidata"
je,Yes,No,No,sonapona
jelo,No,No,Yes,wikidata
jete,Yes,No,No,sonapona
jo,No,No,Yes,wikidata
jonke,Yes,No,No,sonapona
ju,Yes,No,No,sonapona
jule,Yes,No,No,sonapona
jume,Yes,No,No,sonapona
ka,Yes,No,No,sonapona
kala,No,No,Yes,wikidata
kalama,No,No,Yes,wikidata
kalapisituji,Yes,No,No,sonapona
kalijopilale,Yes,No,No,sonapona
kama,No,No,Yes,wikidata
kamalawala,Yes,No,No,sonapona
kamosa,Yes,No,No,sonapona
kani,Yes,No,No,sonapona
kapa,Yes,No,No,sonapona
kapesi,Yes,No,No,sonapona
kasan,Yes,No,No,sonapona
kasi,No,No,Yes,wikidata
ke,Yes,No,No,sonapona
kelo,Yes,No,No,sonapona
ken,No,No,Yes,wikidata
kepeken,No,No,Yes,wikidata
kepen,Yes,No,No,sonapona
kese,Yes,No,No,sonapona
kewe,Yes,No,No,sonapona
kijetesantakalu,No,No,Yes,wikidata
kijetesumikyoku,No,No,Yes,wikidata
kiki,Yes,No,No,sonapona
kikolo,Yes,No,No,sonapona
kili,No,No,Yes,wikidata
kin,No,No,Yes,wikidata
kipisi,No,No,Yes,wikidata
kitu,Yes,No,No,sonapona
kiwen,No,No,Yes,wikidata
ko,No,No,Yes,wikidata
kokoliko,Yes,No,No,sonapona
kokosila,Yes,No,Yes,"sonapona, wikidata"
kolo,Yes,No,No,sonapona
kon,No,No,Yes,wikidata
konsi,Yes,No,No,sonapona
konwe,Yes,No,No,sonapona
kosa,Yes,No,No,sonapona
kosan,Yes,No,No,sonapona
ku,No,No,Yes,wikidata
kulaso,Yes,No,No,sonapona
kule,No,No,Yes,wikidata
kulijo,Yes,No,No,sonapona
kulu,Yes,No,No,sonapona
kulupu,No,No,Yes,wikidata
kuntu,Yes,No,No,sonapona
kute,No,No,Yes,wikidata
kutopoma,Yes,No,No,sonapona
la,No,No,Yes,wikidata
lan,Yes,No,No,sonapona
lanpan,Yes,No,Yes,"sonapona, wikidata"
lapan,Yes,No,No,sonapona
lape,No,No,Yes,wikidata
laso,No,No,Yes,wikidata
lawa,No,No,Yes,wikidata
leko,No,No,Yes,wikidata
len,No,No,Yes,wikidata
lete,No,No,Yes,wikidata
li,No,No,Yes,wikidata
lijokuku,Yes,No,No,sonapona
likujo,Yes,No,No,sonapona
lili,No,No,Yes,wikidata
linja,No,No,Yes,wikidata
linluwi,Yes,No,No,sonapona
linuwi,Yes,No,No,sonapona
lipu,No,No,Yes,wikidata
lisa,Yes,No,No,sonapona
loje,No,No,Yes,wikidata
loka,Yes,No,No,sonapona
lokon,Yes,No,No,sonapona
lon,No,No,Yes,wikidata
lu,Yes,No,No,sonapona
luka,No,No,Yes,wikidata
lukin,No,No,Yes,wikidata
lupa,No,No,Yes,wikidata
ma,No,No,Yes,wikidata
majuna,Yes,No,Yes,"sonapona, wikidata"
mama,No,No,Yes,wikidata
mani,No,No,Yes,wikidata
masalo,Yes,No,No,sonapona
matula,Yes,No,No,sonapona
me,Yes,No,No,sonapona
meli,No,No,Yes,wikidata
melome,Yes,No,No,sonapona
meso,Yes,No,Yes,"sonapona, wikidata"
mi,No,No,Yes,wikidata
mije,No,No,Yes,wikidata
mijomi,Yes,No,No,sonapona
minsu,Yes,No,No,sonapona
misa,Yes,No,No,sonapona
misikeke,No,No,Yes,wikidata
moku,No,No,Yes,wikidata
moli,No,No,Yes,wikidata
molusa,Yes,No,No,sonapona
monsi,No,No,Yes,wikidata
monsuta,No,No,Yes,wikidata
mu,No,No,Yes,wikidata
mulapisu,Yes,No,No,sonapona
mun,No,No,Yes,wikidata
musi,No,No,Yes,wikidata
mute,No,No,Yes,wikidata
n,No,No,Yes,wikidata
nalanja,Yes,No,No,sonapona
namako,No,No,Yes,wikidata
nan,Yes,No,No,sonapona
nanpa,No,No,Yes,wikidata
nasa,No,No,Yes,wikidata
nasin,No,No,Yes,wikidata
natu,Yes,No,No,sonapona
neja,Yes,No,No,sonapona
nele,Yes,No,No,sonapona
nena,No,No,Yes,wikidata
ni,No,No,Yes,wikidata
nimi,No,No,Yes,wikidata
nimisin,Yes,No,No,sonapona
nja,Yes,No,No,sonapona
noka,No,No,Yes,wikidata
nowi,Yes,No,No,sonapona
nu,Yes,No,No,sonapona
o,No,No,Yes,wikidata
ojuta,Yes,No,No,sonapona
oke,Yes,No,No,sonapona
okepuma,Yes,No,No,sonapona
oki,Yes,No,No,sonapona
oko,Yes,No,Yes,"sonapona, wikidata"
olala,Yes,No,No,sonapona
olin,No,No,Yes,wikidata
omekalike,Yes,No,No,sonapona
omekapo,Yes,No,No,sonapona
omen,Yes,No,No,sonapona
ona,No,No,Yes,wikidata
oni,Yes,No,No,sonapona
opasan,Yes,No,No,sonapona
open,No,No,Yes,wikidata
owe,Yes,No,No,sonapona
paka,Yes,No,No,sonapona
pakala,No,No,Yes,wikidata
pake,Yes,No,Yes,"sonapona, wikidata"
pakola,Yes,No,No,sonapona
pali,No,No,Yes,wikidata
palisa,No,No,Yes,wikidata
pan,No,No,Yes,wikidata
pana,No,No,Yes,wikidata
panke,Yes,No,No,sonapona
panpan,Yes,No,No,sonapona
pasila,Yes,No,No,sonapona
pata,No,No,Yes,wikidata
pe,Yes,No,No,sonapona
pelusa,Yes,No,No,sonapona
penpo,Yes,No,No,sonapona
peta,Yes,No,Yes,"sonapona, wikidata"
peto,Yes,No,No,sonapona
pi,No,No,Yes,wikidata
pika,Yes,No,No,sonapona
pilin,No,No,Yes,wikidata
pimeja,No,No,Yes,wikidata
pini,No,No,Yes,wikidata
pipi,No,No,Yes,wikidata
pipo,Yes,No,No,sonapona
po,Yes,No,Yes,"sonapona, wikidata"
poka,No,No,Yes,wikidata
poki,No,No,Yes,wikidata
poku,Yes,No,No,sonapona
polinpin,Yes,No,No,sonapona
pomotolo,Yes,No,No,sonapona
pona,No,No,Yes,wikidata
potesu,Yes,No,No,sonapona
powe,Yes,No,No,sonapona
pu,No,No,Yes,wikidata
pulaso,Yes,No,No,sonapona
puwa,Yes,No,No,sonapona
ryuupekosi,No,No,Yes,wikidata
sama,No,No,Yes,wikidata
samu,Yes,No,No,sonapona
san,Yes,No,Yes,"sonapona, wikidata"
santa,Yes,No,No,sonapona
sapelipope,Yes,No,No,sonapona
seli,No,No,Yes,wikidata
selo,No,No,Yes,wikidata
seme,No,No,Yes,wikidata
sewi,No,No,Yes,wikidata
sijelo,No,No,Yes,wikidata
sikako,Yes,No,No,sonapona
sike,No,No,Yes,wikidata
sikomo,Yes,No,No,sonapona
silapa,Yes,No,No,sonapona
sin,No,No,Yes,wikidata
sina,No,No,Yes,wikidata
sinpin,No,No,Yes,wikidata
sipi,Yes,No,No,sonapona
sisi,Yes,No,No,sonapona
sitelen,No,No,Yes,wikidata
siwala,Yes,No,No,sonapona
slape,Yes,No,No,sonapona
snoweli,Yes,No,No,sonapona
sokeli,Yes,No,No,sonapona
soko,No,No,Yes,wikidata
sole,Yes,No,No,sonapona
sona,No,No,Yes,wikidata
soto,Yes,No,No,sonapona
soweli,No,No,Yes,wikidata
sowoli,Yes,No,No,sonapona
su,Yes,No,Yes,"sonapona, wikidata"
suke,Yes,No,No,sonapona
sulaso,Yes,No,No,sonapona
suli,No,No,Yes,wikidata
suno,No,No,Yes,wikidata
sunta,Yes,No,No,sonapona
supa,No,No,Yes,wikidata
sutopatikuna,Yes,No,No,sonapona
suwi,No,No,Yes,wikidata
taki,Yes,No,No,sonapona
tan,No,No,Yes,wikidata
tankala,Yes,No,No,sonapona
taso,No,No,Yes,wikidata
tawa,No,No,Yes,wikidata
te,Yes,No,No,sonapona
teje,Yes,No,No,sonapona
teken,Yes,No,No,sonapona
teki,Yes,No,No,sonapona
telo,No,No,Yes,wikidata
ten,Yes,No,No,sonapona
tenkala,Yes,No,No,sonapona
tenpo,No,No,Yes,wikidata
to,Yes,No,No,sonapona
tok,No,Yes,No,simplewiki
tokana,Yes,No,No,sonapona
toki,No,No,Yes,wikidata
toma,Yes,No,No,sonapona
tomo,No,No,Yes,wikidata
tona,Yes,No,No,sonapona
tonsi,No,No,Yes,wikidata
tu,No,No,Yes,wikidata
tuli,Yes,No,No,sonapona
u,Yes,No,No,sonapona
uka,Yes,No,No,sonapona
ulu,Yes,No,No,sonapona
umesu,Yes,No,No,sonapona
unpa,No,No,Yes,wikidata
unu,Yes,No,No,sonapona
usa,Yes,No,No,sonapona
usawi,Yes,No,No,sonapona
uta,No,No,Yes,wikidata
utala,No,No,Yes,wikidata
wa,Yes,No,No,sonapona
waken,Yes,No,No,sonapona
waleja,Yes,No,No,sonapona
walo,No,No,Yes,wikidata
wan,No,No,Yes,wikidata
waso,No,No,Yes,wikidata
wasoweli,Yes,No,No,sonapona
wawa,No,No,Yes,wikidata
wawajete,Yes,No,No,sonapona
we,Yes,No,No,sonapona
we1,Yes,No,No,sonapona
weka,No,No,Yes,wikidata
wekama,Yes,No,No,sonapona
wi,Yes,No,No,sonapona
wile,No,No,Yes,wikidata
wisa,Yes,No,No,sonapona
wiwi,Yes,No,No,sonapona
wuwojiti,Yes,No,No,sonapona
yupekosi,Yes,No,No,sonapona
yutu,Yes,No,No,sonapona
